application_id,adopter_id,pet_id,status,application_date
1,1,1,pending,2024-01-10
2,1,2,approved,2024-01-12
3,1,4,pending,2024-02-01
4,1,8,pending,2024-02-10
5,2,3,pending,2024-01-15
6,2,5,rejected,2024-01-18
7,2,1,pending,2024-02-05
8,3,6,approved,2024-01-20
9,3,7,approved,2024-01-25
10,4,1,pending,2024-01-22
11,4,2,pending,2024-02-02
12,4,9,pending,2024-02-07
13,5,4,approved,2024-02-11
14,5,8,pending,2024-02-15
15,6,10,pending,2024-02-16
16,7,6,pending,2024-02-17
17,7,9,pending,2024-02-20
18,8,5,rejected,2024-02-19
